RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2679.5884975525964,2693.383438216571,2713.5513769284016,2740.8959197473014,2764.1515769921857,2786.017054736083,2798.172709655751,2810.053798335808,2816.5061772638323,2814.7938989063146,2800.995751096103,2785.2086144363125,2776.689891954355,2779.492872020437,2789.2550955608517,2802.388864966567,2818.222002920452,2834.673506741597,2851.462281209639,2859.8382986806187,2860.845631515677,2850.601741246211,2837.513184300294,2817.5061148315986,2808.768779890618,2807.38620895532,2820.3621790424827,2837.572189561222,2859.5126570450134,2880.0117405560286,2894.041723572319,2898.6766701618512,2889.7746287176788,2868.620962996576,2842.6455066747762,2823.885102166636,2820.841900018081,2828.8295312268583,2847.312912516169,2871.224472123879,2895.8573839251917,2918.047020823232,2933.9135115909876,2945.003111750971,2946.5748937774724,2933.556270313522,2915.691103092327,2898.5627419476746,2895.0858589709874,2904.49081261384,2923.7457514199737,2948.329650173974,2975.7859316049576,3003.028539804676,3024.3983667100556,3037.1955351916654,3039.7567542055276,3033.6094500741706,3015.6837601322286,3001.785342050181,2998.094902151486,3016.8295462113706,3032.047806078843,3021.5646368342113,2991.2594091469027,2949.063513342265,2907.381759865531,,,2696.102430211579,2646.8667134308052,2621.4892985174984,2611.4251068498747,2626.5656578102844,2656.116734009635,2699.444942464343,2759.6475289452833,2834.896886406598,2920.186927783643,2997.9659529795163,3061.2540785130072,3098.6492267398676,3127.294722514066,3146.76076924343,3176.220449944465,3213.1567075746325,3260.763985174112,3311.4989227829806,3374.1623645312143,3439.047258775329,3496.164905369951,3529.688079129676,3534.817939612686,3513.800670935443,3473.0705728718685,3441.382654875297,3433.8292150451603,3446.4657719838906,3471.1653028389233,3507.3405186361992,3551.487880460595,3595.371590364439,3625.603059576052,3637.2978141910808,3633.8689954150996,3611.8498985735437,3573.2469862739076,3543.188292764615,3536.914486291328,3560.872143629613,3600.855048181619,3643.853156861834,3689.871745155729,3726.8281167230793,3748.4027590407386,3751.4908854689006
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1860.7251001149589,1875.7424002771359,1892.0801480403568,1904.3490860340323,1926.4760746308357,1937.939974522265,1954.3970576664365,1962.508643766258,1981.8239612170066,1992.9695940765862,1997.1402188805257,2000.8752084363011,2013.1493803743479,2034.075298277956,2051.4426560214733,2058.187543892488,2078.369994922015,2095.6878643184687,2111.2900464409017,2107.6380109982842,2106.533776480394,2112.4936944988526,2115.599885898675,2122.589414453687,2136.6711349566745,2152.215211141222,2176.3859459258674,2188.554360035693,2205.731188673128,2215.3076277447735,2227.343173020122,2235.330353747713,2236.100215689416,2240.89434774063,2246.183440068337,2254.43780706038,2265.5429595851174,2280.324975669101,2290.463655061535,2297.7864052460354,2304.520769436868,2320.8802645531864,2336.004598461403,2350.2171923732294,2355.4423661268215,2357.063017161213,2358.6083777796844,2363.02450129823,2369.2514177928583,2371.06600890081,2383.670006283953,2395.2775991790995,2410.2750288046227,2421.599253612745,2432.3638603249124,2440.4877018256047,2443.071337448528,2442.2592153944306,2439.0062290537726,2440.4272292643323,2442.46579776687,2450.097108920113,2447.1039340164903,2435.4564637598965,2418.3689900629997,2407.612086428796,2403.744938390608,2397.7826723206604,2384.912888741304,2373.5849862922205,2366.240606199768,2361.697009669047,2364.7516855316326,2366.1222666437848,2375.1862614548054,2383.075652158065,2403.6926157348703,2436.07236906708,2478.9376480392607,2527.9157002407624,2565.319558677478,2589.748068605235,2604.38894500615,2624.752368748109,2646.695825171363,2671.3812457568306,2688.1353976643454,2711.846118965589,2736.186138488995,2761.9380906898887,2784.5910702751894,2801.293934470247,2812.3323574864994,2806.733608323729,2798.4620739246943,2790.453824370218,2790.499946197685,2794.5559540743466,2806.8703384169708,2816.9848213416635,2821.8313558055875,2821.3761330757825,2822.57126661902,2829.909375484875,2833.6409010285765,2829.5261687996476,2814.1527878393263,2801.237730855579,2805.4388225514786,2812.8418962720566,2829.564492759371,2837.643378620442,2853.0634705524885,2863.4751649738546,2876.2602505906243,2882.473509944619
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1216.3927050524933,1219.9742469206074,1224.7028088561353,1234.2480304038263,1244.3948782456282,1253.158914251112,1253.838049944422,1254.7624084220047,1251.7168881278958,1249.3237076653352,1247.0150986477329,1244.9637246613838,1245.9159912872356,1246.1479338765137,1253.1040164145782,1258.9856180454744,1262.5426025726217,1262.5252940174491,1261.4409047958081,1259.0987738180681,1254.2083075034384,1251.5111823250963,1247.570340081831,1245.2615187764832,1244.8825012268212,1252.0687657396643,1260.369596130982,1264.0720282007492,1271.2870838934832,1271.9751087631043,1271.8516374430462,1265.556338791799,1272.0390691125372,1281.7650965247676,1295.460259005117,1304.5811348880775,1307.1569768525999,1312.766138459836,1311.4662199428597,1319.18892780654,1321.19809868708,1327.550311761546,1326.8318793848043,1324.7683546218668,1320.1906884406187,1322.161987710126,1324.474809596261,1325.0121435918034,1323.9996024826728,1320.8332446203294,1326.7708873219788,1331.2790899910435,1341.0438679989943,1347.9208647418295,1351.8649289218288,1352.7114376817362,1348.7240014502822,1347.247156497998,1345.1618795243678,1348.596087585472,1351.0542726265162,1357.9925270403035,1363.9175529072377,1359.4865102748392,1351.350136113228,1341.5885902051484,1344.4315964825917,1346.6955488631422,1345.8204468716003,1346.4791671420644,1346.9021846193125,1344.8573519378074,1344.3116791763673,1344.164281103872,1352.587421294809,1364.9362364027604,1385.201302886991,1413.469143701951,1440.112581446162,1463.022806267446,1476.653988208467,1482.805052223793,1487.1317984535215,1487.333765589536,1493.9305069234156,1502.7847314463268,1514.1746829535691,1524.085675273241,1535.7628505946186,1550.4056074619816,1561.6541344385598,1566.1889072365223,1564.4774822892969,1558.8245153221067,1554.1081298406677,1552.9388053189432,1558.8162374433882,1567.3443526489048,1577.3996770500114,1581.7981124897296,1589.6838529054887,1596.5396075026445,1603.7254930259096,1603.1048632871918,1600.0032106872864,1596.8253433142354,1596.3069821116235,1596.9658738430528,1599.3324628404898,1602.2339557273633,1603.7318655436536,1610.1190233949674,1618.7450326223038,1628.6164157326846,1632.525659320111,1635.5410440997446
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1523.456273261691,1532.701769483974,1543.382328904892,1553.9956592391613,1567.3274756166154,1580.1736208478715,1586.2746829500904,1589.1941576071085,1582.2264792571998,1573.2141526632493,1563.3776156936508,1562.3112476540914,1573.1669080420431,1586.6965164353026,1600.8366403350526,1608.385539074897,1616.313660037861,1627.0813861571926,1635.6057601025827,1640.4720922958531,1631.3050709943097,1617.1261716587396,1599.6715519239822,1592.298862884094,1599.7230621470894,1618.9836341834377,1640.9325126109063,1656.0654952885673,1668.135335241247,1674.5941169591079,1677.0289118012067,1670.0767478216824,1660.7473871204559,1645.6268521260324,1635.5882954685865,1631.7618738811361,1640.9135980188744,1655.6957715585986,1670.5488588390344,1683.3713954968264,1694.7872635289473,1705.5912406861078,1710.865765299751,1707.4190488646511,1692.4181667051657,1676.566733250647,1664.9450106235424,1666.5024338314443,1678.3154697139414,1692.373899891643,1710.6352952806285,1724.5278342046606,1738.4471545173556,1746.7179442491718,1751.5081854683249,1753.2318153780814,1746.6368234930362,1737.859732122887,1726.8135350294938,1721.506676814464,1729.9839924032167,1744.4176413201092,1760.6824896615396,1761.695057010571,1758.841069191375,1753.5834331670192,1749.4723636598642,1736.9941937606636,1712.3204882118955,1676.8587681244685,1646.2230167778137,1632.410915143231,1634.2308535638035,1650.635377858636,1674.032978315645,1707.2810989302156,1739.3978614719608,1768.537568654044,1787.2187957059962,1799.0209602996986,1800.373044060689,1797.3536701780108,1792.5045051947204,1798.1285203314947,1814.3548107147444,1834.4653917162377,1858.8623424471928,1884.2801606966066,1912.8021157775827,1934.4367463747406,1951.1312434572703,1957.135726174854,1955.2407008539615,1948.2165089187013,1941.5927014242998,1940.3523924941978,1949.7487959921223,1966.180233720063,1987.074939714026,2007.2144505471222,2031.440573805308,2053.591821598976,2065.0593727082855,2068.4257558636587,2057.186181237934,2043.2078752186533,2027.8694124444303,2029.6009421559725,2041.5449025253165,2064.1841381378604,2083.662584492883,2109.0399487890168,2128.9472887840043,2148.1325884633807,2154.7749160232893,2151.2270717007464
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1012.2502122258105,1015.7971977816126,1022.5119252547119,1030.9852677455676,1040.558455910493,1048.5147400411583,1050.2428656754496,1048.3307663298865,1047.1855045391944,1051.724568533407,1053.2562726288354,1054.7260779133487,1054.8109287447735,1058.9325780008062,1064.2668790230855,1072.6190263169685,1079.2607142075296,1084.8705952873227,1086.805413146363,1090.6208776445376,1092.0458631752979,1090.3882368006944,1090.0825838541068,1088.2361045927335,1093.6650464302916,1098.161053903351,1106.6536267779522,1112.407534900397,1117.909762026174,1126.0212374529829,1129.4815753586784,1128.790550174762,1125.036054947778,1121.7138163037841,1119.6282305285085,1118.8890461555056,1120.1321354845763,1124.5933478448703,1131.200767646443,1137.0021908589822,1142.7490571009837,1148.3345534454647,1155.8564201463353,1161.7716462734313,1162.0022158198117,1160.760519547649,1158.6268185780918,1156.9651267834304,1157.8315385469327,1161.3885512978181,1169.079471286155,1175.9898074137504,1181.1083516897747,1186.5918395627482,1192.2445747121005,1202.0277793401913,1204.9235572964906,1204.2757217734627,1194.4955566931949,1191.8308841196642,1191.3069756955408,1198.584248942651,1202.9841648585561,1204.0453154323448,1201.2300972432834,1201.7948705182991,1208.2698866513238,1213.9894844995067,1217.4507864051786,1216.7468076575792,1217.0645670348051,1219.4120200980192,1221.248715724008,1224.706866763832,1231.568374938721,1246.7976910210537,1264.9324836041815,1286.2393508136706,1311.2292530814098,1338.5853735076278,1359.3302115170045,1370.6438890932213,1375.662295481736,1381.1909192906814,1386.7770388919193,1397.8666206396194,1411.1669540914938,1425.265849828441,1439.6663071929274,1450.4212219873696,1463.8720432713849,1465.8217003274804,1463.3702332324594,1450.784746645188,1442.7209340331658,1439.3055251390767,1445.941242471164,1450.609229963973,1461.012489174824,1463.452402650687,1468.9794039965368,1465.6183587307464,1464.1065611807282,1460.6622665149503,1456.391898711973,1450.9877358793044,1446.878312159743,1444.2721931116187,1442.8216430953596,1444.2526454848373,1450.6447591121248,1458.6542620713446,1463.1346995823287,1463.4316035422223,1463.4235207649838,1461.703668706106
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1198.0403913693913,1207.4799912504063,1226.749917924008,1233.3751633024276,1240.2864547023412,1242.8255792031678,1246.47419156292,1245.9028454579447,1241.8759353379219,1240.673531908111,1236.0043202353709,1233.7497743580627,1232.34670006488,1244.6845749345855,1258.0083740776695,1270.4492570966072,1276.2288425717452,1281.779370805189,1282.428881451922,1281.551444556922,1277.8017989751102,1274.3689207858351,1278.6846275830837,1277.4291618870598,1282.6022760700564,1287.9025191614674,1302.895292100927,1313.2236244873914,1317.306050022451,1317.8722717026915,1317.4566350067043,1316.3091163315996,1314.640489358661,1312.7856388447512,1312.02684760715,1314.7257073295632,1319.4814599232664,1328.6745634758502,1341.7095838099754,1352.1158283394727,1360.9284979439478,1362.2148835270318,1359.7069479533966,1358.323670986312,1357.0650248636805,1361.7520616769928,1367.4659611353227,1365.929097926742,1370.5512728037495,1375.9639499592288,1392.5688941732017,1401.0015474115592,1406.8505063714485,1412.969273359894,1417.6853166313454,1417.2705685592366,1413.3096826517935,1412.6696036466267,1411.9876202141609,1414.655605279886,1417.4593922958531,1427.2637156374383,1435.773597890889,1439.3127215421578,1438.4873010373492,1438.2691818169717,1440.6306153454714,1437.7904409480757,1432.1035662896843,1425.3936690548496,1423.7497506548295,1424.4569805854273,1428.985531741474,1434.081275816981,1442.0333622951366,1455.3035130764697,1474.3165141166999,1490.1098285537116,1503.8296161845524,1515.5689182779292,1517.1022772244062,1524.6231606485126,1532.6003570528487,1552.0816052369842,1562.097465380067,1568.3798217426506,1577.5364714641396,1589.9791939776824,1605.382742351409,1617.846246159799,1623.973909538608,1625.6001880503677,1624.843314242898,1620.5054217173788,1619.9382645043163,1615.3751225804747,1621.420282482818,1624.9002202126799,1636.4749750136803,1644.5432467813548,1652.1500657649312,1654.8483700894053,1657.2783846021896,1659.3789993841774,1664.205138149886,1669.7533005315595,1674.5223127649726,1672.4104580658532,1675.1697895708687,1679.6034372807796,1691.864507544704,1697.953291778534,1704.7776335347235,1708.8778016562324,1713.7167621318204,1718.9957190822058
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,848.0549989759631,859.8683793411184,867.5638287627536,876.7371986898778,880.3089527342127,887.3885259708665,890.7858748545333,893.7127943153033,898.0020886868351,900.3430835363916,902.4268793746616,900.8969272306916,908.3690224384916,913.7945021512037,923.6441315436772,931.282150931542,941.3583014612466,949.0924627730806,950.8956234163356,950.4364598159526,951.3813758742804,951.9205079582277,953.9190078065329,953.850053231065,959.9240273964058,968.977420238947,981.3072173481926,993.2387628917749,1004.7036016200044,1011.7700316162927,1014.7924125272593,1015.2963118965682,1014.6968163845761,1016.6443668972045,1017.8908245900891,1020.3275354759905,1024.0584330785525,1030.498275172588,1044.217237966353,1056.7494108181968,1068.9296077166346,1076.5822774096769,1084.551404233311,1090.746776421958,1098.4902830001263,1104.1436305630205,1108.0513879306059,1110.7170671591216,1113.4620034925767,1124.0498325712415,1134.6812498773536,1148.9309931680114,1158.5186737996353,1170.5802577722393,1177.7943405558444,1184.0588466725337,1185.7701270519822,1188.3975297321385,1194.88530638426,1204.6871434723937,1213.09039233016,1221.5725607744632,1226.954998032231,1230.0216252331654,1231.554310218209,1235.9555060297953,1246.643094758489,1259.8064929765928,1270.3611338362066,1279.5456772805603,1284.5422959515413,1296.061845051767,1306.6597132045724,1320.9090075480497,1339.684188777618,1370.0626905786369,1410.3323599824378,1450.7010186095404,,1538.1734489289988,1572.83872375643,1589.9677406298763,1600.2684419963412,1610.7509308695421,1621.8269244003236,1633.9303882165484,1646.3387348268664,1658.0538125791707,1669.3133506558408,1677.6933374372272,1685.7658869440318,1685.9495380377093,1679.4791113842773,1670.8713464969605,1665.3044320679169,1663.9695324160662,1658.0598094432348,1659.1306752884611,1667.8442217786833,1678.5561646089843,1686.4161512922258,1685.1133439046598,1686.024316065448,1679.9467920879208,1679.7430450084419,1676.414370831906,1669.9942020684837,1660.8663778195028,1657.5365737301565,1668.080714314635,1679.7511484831407,1691.6430878809554,1698.6907543606626,1699.9891294485672,1700.8231097850091,1698.5425860597825
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,975.3545556857711,980.9000577907717,986.4192722971326,993.682256556589,1000.0245755033859,1006.4805823077637,1012.8375611034357,1015.7148213798008,1020.2385986949004,1019.6663672554142,1020.3725262386704,1018.4433994829733,1020.9592065635402,1024.4424876609235,1028.9908770843886,1034.430242156882,1041.3133799771,1051.2393565028863,1056.2345948055965,1059.691764673352,1059.8004903252013,1062.6139134001348,1063.1383986385229,1063.0671803524629,1066.4681398239134,1074.4400909847218,1085.9551934361439,1094.6401265909699,1102.0441863289743,1109.5306611414612,1116.92564279633,1122.9943365876152,1126.5032373502836,1127.7032531236118,1129.54240598938,1133.0028489220517,1137.411273783747,1145.1681202245986,1154.5960582498292,1168.7882675053609,1180.599975128421,1189.8477627845775,1199.0746744131304,1205.1783730258485,1210.3837893092232,1211.1790531381,1213.8948367268472,1215.7741093086056,1220.4183579136393,1224.8402340234381,1236.8444857107154,1247.132777841665,1259.4720571386642,1266.7714092697468,1274.1130267772205,1279.827801838831,1280.958092348637,1282.4298476007002,1281.4560744628618,1280.603517427642,1280.6187340264319,1287.286023536322,1295.6265084397,1291.5978713482843,1286.7345138926019,1287.506774185049,1304.3901943506132,1320.8876209584673,1337.8370130984515,1350.334996532396,1359.5317792238834,1365.109820733485,1374.6788561585017,1387.4678071663593,1404.865301260838,1417.6249282144572,1455.4182928322955,1505.5288200476755,1568.8351728439898,1619.8737453163903,1657.352775994675,1681.126312037054,1688.052068590429,1689.8580125370866,1694.045460834925,1700.7073882474751,1708.9801419572607,1719.4086686211851,1731.9539844998699,1747.1762255367746,1761.4015953397216,1754.3460106873986,1737.978390463063,1712.5176191503874,1697.4445435284006,1685.156698515948,1683.0400046030245,1687.493881521683,1699.4365568036521,1705.8380565061984,1715.070628087087,1719.0692591679629,1727.4372211017692,1725.3393006028596,1722.463616435563,1723.377728021918,1723.734192872651,1721.3124529062866,1715.8470945576255,1713.537207836014,1724.0148019781896,1736.534827642114,1755.8163205648857,1767.4727334650765,1769.775407945961,1771.2608217759164
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1743.2758727035828,1756.3154616180204,1766.3144864999138,1769.8415512494175,1784.1608755597656,1790.6088014974105,1810.310160610664,1823.3917881083555,1833.5874343175267,1837.7392345830015,1838.6919336815895,1846.3919952297954,1853.9366603169867,1859.0619260991473,1868.066770959309,1873.422905591145,1885.665438961799,1902.7077615897813,1918.277608427921,1928.0254795289768,1928.7018969993157,1934.640170105305,1935.2966546786115,1938.9945789108428,1940.5802838065401,1959.2352830195257,1977.084181396894,1997.5261141355836,2012.2800884204694,2026.8907809167022,2043.9767918226821,2051.4991403334957,2053.9275330665073,2049.5910192976116,2048.87018732461,2051.278299425224,2061.8062375263025,2075.6701663364424,2091.208050476055,2101.897700889448,2119.2993951327753,2128.9896020082497,2143.4956181483453,2151.0902787317827,2158.6502735486774,2159.707267704563,2152.226297970126,2158.71779304498,2161.7525099980044,2170.7313234753346,2174.9869667105545,2186.311627511409,2199.568134190705,2211.063897365276,2223.475850917151,2233.751079089254,2235.7951866671065,2234.3019647958163,2232.1355928900352,2241.1916444296457,2247.2622323229302,2253.7482415471463,2252.491607166947,2240.6545365952443,2231.8449403531326,2226.660771211528,2236.7104686830744,2242.348024361129,2251.111415944015,2264.903964010945,2280.504287921813,2290.529050902894,2301.7496406729965,2310.7300671129537,2332.2351318265196,2358.1376895238477,2398.573967813758,2436.9726233488036,2492.1168946352705,2548.7942253304823,2613.214314127537,2651.9199249100425,2678.2557439277743,2691.1371795003524,2706.229857841658,2733.0821686866398,2768.7630869366253,2817.144422983627,2861.2561112854773,2907.9700655429833,2944.067888349501,2978.029666842191,2985.9784369351128,2977.825415516767,2953.911280046941,2939.956796891556,2936.1474751896535,2945.8832392502704,2970.882395503086,2998.316290056646,3033.761557727462,3058.1014403453505,3079.163566241871,3081.195653755036,3076.2369959952366,3063.935728908454,3043.8502433507606,3023.558504272385,3008.383694381097,3018.4829035846833,3041.53117576147,3069.9870522990836,3088.4780119514276,3104.076541997656,3117.4535344958813,3121.125922393078
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1082.701159775644,1086.1656761554125,1096.32581870754,1108.6399617699474,1124.4927247709395,1135.4150114922127,1148.0040108864678,1152.0978064287337,1153.9313455730537,1156.0085951810943,1163.6977953550463,1168.72423801044,1169.1417654693107,1171.0666828706005,1175.8721917347646,1188.7203630279944,1196.6057930974803,1207.6200925611352,1210.8092658167614,1214.1874995562166,1216.295367665512,1225.3404634831538,1231.0487553679359,1235.375194022062,1237.6187986792797,1239.1763867937311,1254.0526536139432,1263.6763514872052,1277.6405386646727,1278.8050041084216,1283.0231876672913,1281.4251036785356,1280.7513673189237,1276.1554464626663,1285.6000409845226,1288.1563109403223,1294.04319698541,1301.691875810942,1305.2959681460054,1308.5670082776605,1307.172104543326,1321.4694341348363,1328.6565343551442,1331.5096452344935,1321.4905850003088,1323.1081671705506,1321.9785364255301,1325.5030055414695,1331.594650369376,1337.7287330819024,1349.6964903940448,1356.002785037429,1363.5149772058223,1376.0713770795855,1380.0458141072959,1384.937659679747,1383.3223969289947,1379.8685180508733,1372.5101758433377,1360.7971456037455,1365.5460777016099,1373.0212855648003,1382.5465929459997,1378.2459106140223,1373.5819860307042,1370.8377658570807,1372.8842777392417,1375.1756277341115,1376.7562497365375,1376.6577650654033,1374.815250259496,1374.552400338403,1376.444388060418,1384.9806497780744,1393.3353691777572,1412.876393667316,1437.6961413101694,1473.2117262083352,1508.033705483402,1537.399699607376,1559.8142277747431,1572.328653870204,1582.7716800091605,1591.9284256855385,1603.2787417209481,1620.0181936464098,1629.599662481833,1652.4505726780546,1674.6105641317856,1713.4747483542506,1734.5472126258378,1743.6445684156745,1738.3391890025862,1719.8481269795218,1708.060817724118,1693.7755020789134,1692.7444028383159,1692.2884363208912,1700.1652104447594,1708.1348888641305,1717.0275470705262,1722.0290141411062,1726.8837537500633,1728.0929174851456,1727.7694767238554,1723.500503320927,1714.257697803859,1705.221408709833,1699.7899184907953,1696.4607983034007,1692.256627970217,1689.15033901435,1696.8630133513998,1710.9197398735726,1723.612349311554,1730.860681656327
